2019-03-18 21:56:32,323 ERROR BasicPlanAgentImpl:165 last activity of person driver agent id agent_from_2_0 has end time < infty; setting it to infty
2019-03-18 21:56:32,323 ERROR BasicPlanAgentImpl:166  This message given only once.
2019-03-18 21:56:39,843  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:56:39,843  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:56:40,694  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:56:40,694  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:56:40,694  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:56:40,694  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:56:40,694  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-4][startTime=06:41:24][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:56:40,695  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:56:40,695  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-4][startTime=06:41:24][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:56:41,559  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-4][startTime=06:41:24][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:56:42,416  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-03-18 21:56:43,448  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-03-18 21:56:43,449  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-03-18 21:56:43,449  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-03-18 21:56:43,449  WARN CharyparNagelActivityScoring:255 first activity: [type=h][coord=null][linkId=o6][startTime=undefined][endTime=06:04:08][duration=undefined][facilityId=null]
2019-03-18 21:56:43,449  WARN CharyparNagelActivityScoring:256 last activity: [type=w][coord=null][linkId=-4][startTime=06:41:24][endTime=undefined][duration=undefined][facilityId=null]
2019-03-18 21:56:43,449  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-03-18 21:56:43,449  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
